scientific_name,common_name,family,watering_frequency,notes
Ficus benjamina,Фикус Benjamin,Комнатное,1–2 раза в неделю,"Не переливать. Поливать только при высыхании верхнего слоя почвы."
Sansevieria trifasciata,Сансевиерия,Комнатное,1 раз в 2–3 недели,"Высокая засухоустойчивость. Избегать переувлажнения."
Dracaena marginata,Драцена Маргариты,Комнатное,1 раз в неделю,"Поливать умеренно, избегать сквозняков."
Hedera helix,Плющ,Комнатное/Садовое,1–2 раза в неделю,"Влажная почва, но не залитая."
Rosa spp.,Роза,Садовое,2–3 раза в неделю,"Поливать утром, избегать попадания воды на листья."
Lilium spp.,Лилия,Садовое,1–2 раза в неделю,"Почва должна быть влажной, но не залитой."
Hosta spp.,Госта,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать в утренние часы."
Cucurbita pepo,Кабачок,Овощное,2–3 раза в неделю,"Поливать утром, чтобы избежать гниения корней."
Solanum lycopersicum,Томат,Овощное,1–2 раза в неделю,"Поливать умеренно, избегать пересыхания почвы."
Capsicum annuum,Перец,Овощное,2–3 раза в неделю,"Не допускать пересыхания почвы."
Phaseolus vulgaris,Фасоль,Овощное,1–2 раза в неделю,"Поливать утром, чтобы листья высыхали к вечеру."
Allium cepa,Лук,Овощное,1 раз в неделю,"Поливать умеренно, избегать переувлажнения."
Beta vulgaris,Свекла,Овощное,1–2 раза в неделю,"Почва должна быть влажной для хорошего роста корней."
Cucumis sativus,Огурец,Овощное,2–3 раза в неделю,"Важно поливать регулярно, особенно в жаркую погоду."
Spinacia oleracea,Спинаж,Овощное,2–3 раза в неделю,"Любит влажную почву. Поливать утром."
Cactaceae spp.,Кактусы,Комнатное/Садовое,1 раз в месяц,"Высокая засухоустойчивость. Переливание опаснее, чем пересыхание."
Aloe vera,Лечебный алоэ,Комнатное,1 раз в 2–3 недели,"Поливать только при полном высыхании почвы."
Chamaedorea elegans,Пальма Чамедорея,Комнатное,1 раз в неделю,"Любит влажный воздух, но почва должна быть умеренно влажной."
Philodendron hederaceum,Филодендрон,Комнатное,1 раз в неделю,"Не поливать при низкой температуре."
Dieffenbachia,Диффенбахия,Комнатное,1 раз в неделю,"Избегать переувлажнения. Поливать умеренно."
Fern spp.,Папоротники,Комнатное/Садовое,2–3 раза в неделю,"Любит влажную почву и высокую влажность воздуха."
Nerium oleander,Адамово яблоко,Садовое,1–2 раза в неделю,"Не переливать. Засухоустойчиво, но требует умеренного полива."
Tulipa spp.,Тюльпаны,Садовое,1 раз в неделю,"Поливать после появления листьев. Перестать поливать после цветения."
Hydrangea macrophylla,Гортензия,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать утром."
Ranunculus asiaticus,Ранункулюс,Садовое,1–2 раза в неделю,"Не допускать пересыхания почвы."
Lavandula angustifolia,Лаванда,Садовое,1 раз в неделю,"Не переливать. Засухоустойчива."
Rheum rhaponticum,Ревень,Овощное,1–2 раза в неделю,"Любит влажную почву. Поливать регулярно."
Brassica oleracea,Капуста,Овощное,1–2 раза в неделю,"Поливать умеренно, избегать пересыхания."
Allium sativum,Чеснок,Овощное,1 раз в неделю,"Не требует частого полива."
Helianthus annuus,Подсолнечник,Овощное/Садовое,1–2 раза в неделю,"Важно поливать регулярно в период цветения и плодоношения."
Zantedeschia aethiopica,Алиса,Комнатное/Садовое,1 раз в неделю,"Любит влажную почву, но избегать застоя воды."
Anthurium,Антуриум,Комнатное,1 раз в неделю,"Поливать умеренно, избегать попадания воды в листья."
Philodendron selloum,Филодендрон Селлум,Комнатное,1 раз в неделю,"Не допускать переувлажнения."
Monstera deliciosa,Монстера,Комнатное,1–2 раза в неделю,"Любит влажную почву. Поливать после высыпания верхнего слоя."
Spathiphyllum,Спатифиллум,Комнатное,1 раз в неделю,"Любит влажный воздух, но почва должна быть умеренно влажной."
Cyclamen persicum,Цикламен,Комнатное,1–2 раза в неделю,"Поливать аккуратно, избегая попадания воды в листья."
Paeonia officinalis,Пион,Садовое,1–2 раза в неделю,"Любит влажную почву. Поливать утром."
Chrysanthemum morifolium,Хризантема,Садовое,2–3 раза в неделю,"Не допускать пересыхания почвы."
Viola odorata,Ландыш,Садовое,1 раз в неделю,"Любит влажную почву, но избегать застоя воды."
Digitalis purpurea,Диффенбахия,Садовое,1–2 раза в неделю,"Не переливать. Любит умеренную влажность."
Fuchsia hybrida,Фуксия,Комнатное/Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать утром."
Begonia semperflorens,Бегония,Комнатное/Садовое,1–2 раза в неделю,"Избегать переувлажнения. Поливать умеренно."
Geranium spp.,Герань,Садовое,1 раз в неделю,"Не допускать пересыхания почвы."
Rosa rugosa,Роза Rugosa,Садовое,2–3 раза в неделю,"Важно поливать утром, избегая попадания воды на листья."
Lilium lancifolium,Лилия Таджикская,Садовое,1–2 раза в неделю,"Почва должна быть влажной, но не залитой."
Hosta sieboldiana,Госта Сиболдии,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать в утренние часы."
Cucumis melo,Арбуз,Овощное,2–3 раза в неделю,"Важно поливать регулярно, особенно в период плодоношения."
Beta vulgaris,Морковь,Овощное,1–2 раза в неделю,"Почва должна быть умеренно влажной."
Allium sativum,Чеснок,Овощное,1 раз в неделю,"Не требует частого полива."
Rheum palmatum,Ревень Кистевидный,Овощное,1–2 раза в неделю,"Любит влажную почву. Поливать регулярно."
Brassica napus,Рапс,Сельскохозяйственное,1–2 раза в неделю,"Важно поливать в период цветения."
Helianthus tuberosus,Подсолнечник корнеплодный,Овощное,1–2 раза в неделю,"Любит влажную почву. Поливать умеренно."
Chenopodium quinoa,Квinoa,Сельскохозяйственное,1 раз в неделю,"Засухоустойчива, но требует умеренного полива."
Zinnia elegans,Зинния,Садовое,2–3 раза в неделю,"Не допускать пересыхания почвы."
Antirrhinum majus,Лицо кролика,Садовое,1–2 раза в неделю,"Любит влажную почву. Поливать утром."
Asteraceae spp.,Астры,Садовое,1–2 раза в неделю,"Любит влажную почву. Поливать умеренно."
Lilium longiflorum,Лилия Пасхальная,Садовое,1 раз в неделю,"Поливать умеренно, избегать попадания воды в листья."
Ranunculus asiaticus,Ранункулюс,Садовое,1–2 раза в неделю,"Не допускать пересыхания почвы."
Dahlia pinnata,Дельфиниум,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать утром."
Gerbera jamesonii,Джербера,Садовое,1 раз в неделю,"Не переливать. Любит умеренную влажность."
Rosa chinensis,Китайская роза,Садовое,2–3 раза в неделю,"Поливать утром, избегая попадания воды на листья."
Hosta fortunei,Госта Фортуне,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать в утренние часы."
Cucurbita maxima,Кабачок Крупноплодный,Овощное,2–3 раза в неделю,"Поливать утром, чтобы избежать гниения корней."
Solanum melongena,Баклажан,Овощное,1–2 раза в неделю,"Поливать умеренно, избегать пересыхания почвы."
Capsicum chinense,Перец Хабанero,Овощное,2–3 раза в неделю,"Не допускать пересыхания почвы."
Phaseolus coccineus,Фасоль Красная,Овощное,1–2 раза в неделю,"Поливать утром, чтобы листья высыхали к вечеру."
Allium tuberosum,Лук-шалот,Овощное,1 раз в неделю,"Поливать умеренно, избегать переувлажнения."
Beta vulgaris,Шпинат,Овощное,1–2 раза в неделю,"Почва должна быть влажной для хорошего роста корней."
Cucumis sativus,Огурец,Овощное,2–3 раза в неделю,"Важно поливать регулярно, особенно в жаркую погоду."
Spinacia oleracea,Спинаж,Овощное,2–3 раза в неделю,"Любит влажную почву. Поливать утром."